id,date_id,theater,company,event_type,hadamowsky,morrow,notes
1,1781-01-21,Bth,Court,premiere,Yes,NA,"Irene was premiered in the Burgtheater on 21 Jan 1781, and performed only three times before being dropped."
2,1781-01-21,Bth,Court,reprise,Yes,NA,NA
3,1781-01-21,Kth,Kinder,reprise,No,NA,"""Der Sturm nach Schakes= / prar [sic] von Schink.""'"
4,1781-01-21,Kth,Kinder,reprise,No,NA,"""Matrosen Ballet v. Decamp."""
5,1781-01-22,Bth,Court,reprise,Yes,NA,NA
6,1781-01-22,Bth,Court,premiere,Yes,NA,Performed only twice before being dropped.
7,1781-01-22,Kth,French,reprise,No,NA,"""La Belle Arsene O. 3. A. / avec Ballets"""
8,1781-01-23,Bth,Court,reprise,Yes,NA,NA
9,1781-01-23,Bth,Court,reprise,Yes,NA,NA
10,1781-01-23,Kth,Kinder,reprise,Yes,NA,NA
11,1781-01-23,Kth,Kinder,reprise,No,NA,NA
12,1781-01-23,Kth,Kinder,reprise,No,NA,NA
13,1781-01-24,Bth,Court,reprise,Yes,NA,"""Juliane v. Lindorack. / L. in 5 A. n. Gozzi / v. Schöder."""
14,1781-01-24,Bth,Court,reprise,Yes,NA,"""Der Bettelstudent L. in / 2. A. v. Weidmann."""
15,1781-01-24,Kth,French,reprise,No,NA,NA
16,1781-01-24,Kth,French,reprise,No,NA,"""D. Ballet."""
17,1781-01-25,Bth,Court,reprise,Yes,NA,NA
18,1781-01-25,Kth,Kinder,reprise,No,NA,NA
19,1781-01-25,Kth,Kinder,reprise,No,NA,NA
20,1781-01-26,Bth,Court,concert,No,Yes,"Morrow (249) cites a poster in the Theatermuseum, but does not give the title. Weidmann is named as the librettist on Czech Wikipedia. His name is not on the libretto."
24,1781-01-26,Kth,Kinder,reprise,No,NA,NA
25,1781-01-26,Kth,Kinder,reprise,No,NA,NA
21,1781-01-27,Bth,Court,benefit,Yes,NA,"Final performance.""Irene. / (Die Einnahme war / Mlle. Jaquet bestimmt."""
22,1781-01-27,Bth,Court,reprise,Yes,NA,NA
23,1781-01-27,Kth,Kinder,reprise,No,NA,NA
26,1781-01-27,Bth,Court,reprise,Yes,NA,NA
27,1781-01-28,Kth,French,reprise,No,NA,"""La Reine Golconde op. / 3. A. et Ballet."""
28,1781-01-29,Bth,Court,reprise,Yes,NA,NA
29,1781-01-29,Bth,Court,reprise,Yes,NA,Second of only two performances before being dropped.
30,1781-01-29,Kth,Kinder,reprise,No,NA,"""Edelmuth in Niederigkeit. / L. 1. A. Die Strafe im / Sturz. B. v Sacco."""
31,1781-01-29,Kth,Kinder,reprise,No,NA,NA
32,1781-01-30,Bth,Court,reprise,Yes,NA,"""Das Landmädchen L. in / 5. A. a. d. Engl."""
33,1781-01-30,Kth,French,reprise,No,NA,"""Zemire &. Azor. O. 4. A. / et Ballet."""
34,1781-01-31,Bth,Court,reprise,Yes,NA,NA
35,1781-01-31,Kth,Kinder,reprise,No,NA,"""Präsentirt das Gewehr L. / 2. A. Die Matrosen.""Präsentirt das Gewehr had been in the repertory of the court theater since 17 Jun 1775, but this performance in the Kärntnertortheater is not in Hadamowsky."
36,1781-01-31,Kth,Kinder,reprise,No,NA,"""Präsentirt das Gewehr L. / 2. A. Die Matrosen.""Not specified whether this is actually the ""Matrosen Ballet"" of earlier in the month."
37,1781-02-01,Bth,Court,reprise,Yes,NA,NA
38,1781-02-01,Bth,Court,reprise,Yes,NA,"""Die schöne Schusterinn / S. in 2. A. a. d. Fr."""
39,1781-02-01,Kth,French,reprise,No,NA,"""La Rosiere de Salency O. / 3. A. et Ballet.""A German version, Das Rosenfest zu Salenci, has been in the repertory of the court theater company since 9 Sep 1779."
40,1781-02-02,Bth,NA,concert,No,No,"""Musikalische Akademie zum Vortheil der Herrn Winter und Tausch. In Churbayer. Diensten.""Cf. 26 Mar"
41,1781-02-03,Bth,Court,premiere,Yes,NA,"""Wahrheit ist gut Ding / L. in 5. A. / nach dem Lügner d. Gold. / frey bearbeitet v. Schle= / ter."""
42,1781-02-03,Kth,French,reprise,No,NA,"""Babier [sic] de Seville O. [sic] 4. A. / La belle Cordoniere. O. / 2. A."""
43,1781-02-03,Kth,French,reprise,No,NA,"""Babier [sic] de Seville O. [sic] 4. A. / La belle Cordoniere. O. / 2. A.""May be Les souliers mors-dorés, ou La cordonniere allemande (see work record)."
44,1781-02-04,Kth,Kinder,reprise,No,NA,"""Die kleine Näscherinn. L. / 1. A. die Horazier. B.""Probably = to ""Die Näscherinn""?"
45,1781-02-04,Kth,Kinder,reprise,No,NA,NA
46,1781-02-04,Bth,Court,reprise,Yes,NA,NA
47,1781-02-05,Bth,Court,reprise,Yes,NA,Earliest Viennese performance in Hadamowsky on 5 Apr 1769 in the Kärntnertortheater.
48,1781-02-05,Bth,Court,reprise,Yes,NA,NA
49,1781-02-05,Kth,French,reprise,No,NA,NA
50,1781-02-05,Kth,French,reprise,No,NA,NA
51,1781-02-06,Bth,Court,reprise,Yes,NA,NA
52,1781-02-06,Kth,Kinder,reprise,No,NA,NA
53,1781-02-06,Kth,Kinder,reprise,No,NA,NA
54,1781-02-07,Bth,Court,reprise,Yes,NA,"""Ermine [sic] v. Steinheim / Tr. im 5. A. v. Blum= / auer."""
55,1781-02-07,Kth,French,reprise,No,NA,Hadamowsky has a production by the court theater premiering on 27 Jun 1809.
56,1781-02-07,Kth,French,reprise,No,NA,NA
57,1781-02-08,Bth,Court,reprise,Yes,NA,NA
58,1781-02-08,Bth,Court,reprise,Yes,NA,NA
59,1781-02-08,Kth,Kinder,reprise,No,NA,NA
60,1781-02-08,Kth,Kinder,reprise,No,NA,NA
61,1781-02-09,Bth,NA,concert,No,NA,"""Musikalische Akademie. zum Vortheil Herrn. Schlick. K. M. aus Gotha und Herrn Tanner aus München."""
62,1781-02-10,Bth,Court,reprise,Yes,NA,Only performance in 1781. First performed in Vienna in 1770.
63,1781-02-10,Kth,Kinder,reprise,No,NA,NA
64,1781-02-10,Kth,Kinder,reprise,No,NA,"""Adelheit v. Ponthieu, B."""
65,1781-02-11,Bth,Court,reprise,Yes,NA,NA
66,1781-02-11,Kth,French,reprise,No,NA,NA
67,1781-02-11,Kth,French,reprise,No,NA,NA
68,1781-02-12,Bth,Court,reprise,Yes,NA,Premiere in the Burgtheater on 26 Jul 1780
69,1781-02-12,Kth,Kinder,reprise,No,NA,NA
70,1781-02-12,Kth,Kinder,reprise,No,NA,NA
71,1781-02-13,Bth,Court,reprise,Yes,NA,NA
72,1781-02-13,Bth,Court,premiere,Yes,NA,Premiere. Performed only one more time on 21 Feb before being permanently dropped.
73,1781-02-13,Kth,French,reprise,No,NA,NA
74,1781-02-13,Kth,French,reprise,No,NA,NA
75,1781-02-14,Bth,Court,reprise,Yes,NA,NA
76,1781-02-14,Kth,Kinder,reprise,No,NA,NA
77,1781-02-14,Kth,Kinder,reprise,No,NA,NA
78,1781-02-15,Bth,Court,reprise,Yes,NA,NA
79,1781-02-15,Kth,French,reprise,No,NA,NA
80,1781-02-15,Kth,French,reprise,No,NA,NA
81,1781-02-16,Bth,NA,concert,No,No,"""Musikalische Akadamie zum Vortheil Hr. Anton Ulbrich, von WIen.""""Anton"" may have been either Anton Ignaz Ulbrich (1706–1796) or his son Anton Johann Nepomuk (1754–1830), both trombonists. Neither is known to have composed. One wonders whether this might have been a family concert, perhaps also including Johann Nepomuk Maximilian (1743–1814), who was a composer."
82,1781-02-17,Bth,Court,premiere,Yes,NA,NA
83,1781-02-17,Kth,French,reprise,No,NA,NA
84,1781-02-17,Kth,French,reprise,No,NA,NA
85,1781-02-17,Kth,French,reprise,No,NA,NA
86,1781-02-18,Bth,Court,reprise,Yes,NA,NA
87,1781-02-18,Kth,Kinder,reprise,No,NA,NA
88,1781-02-18,Kth,Kinder,reprise,No,NA,NA
89,1781-02-19,Bth,Court,reprise,Yes,NA,NA
90,1781-02-19,Kth,French,reprise,No,NA,NA
91,1781-02-19,Kth,French,reprise,No,NA,NA
92,1781-02-19,Kth,French,reprise,No,NA,NA
93,1781-02-20,Bth,Court,reprise,Yes,NA,NA
94,1781-02-20,Kth,Kinder,reprise,No,NA,NA
95,1781-02-20,Bth,Court,reprise,Yes,NA,NA
96,1781-02-20,Kth,Kinder,premiere,No,NA,NA
97,1781-02-21,Bth,Court,reprise,Yes,NA,NA
98,1781-02-21,Bth,Court,reprise,Yes,NA,Second and final performance
99,1781-02-21,Kth,French,reprise,No,NA,NA
100,1781-02-21,Kth,French,reprise,No,NA,NA
101,1781-02-21,Kth,French,reprise,No,NA,NA
102,1781-02-22,Bth,Court,reprise,Yes,NA,"Zinzendorf attended this performance and that of Der eifersüchtige Liebhaber. It was his first attendance of a public theatrical performances since his return from Trieste.""♃. 22. Fevrier. [...] Dela au Spectacle national. D[as] WinterQuartier in America. La Jaquet, jolie actrice. Der eifersüchtige Liebhaber opera comique françois traduit. belle musique. Adamberger chanta bien. La Lang qui est grosse point parfaitement, Vischer bien. L'air de Alonso Sans jalousie point d'amour. J'etois avec M:e de Thun dans la loge du C:te Rosenberg."""
103,1781-02-22,Bth,Court,reprise,Yes,NA,NA
104,1781-02-22,Kth,Kinder,reprise,No,NA,NA
105,1781-02-22,Kth,Kinder,reprise,No,NA,NA
106,1781-02-22,Kth,Kinder,reprise,No,NA,"""Adelheid von Ponthieu."""
107,1781-02-23,Bth,NA,concert,No,No,This was Monzani's only known appearance in Vienna
108,1781-02-24,Bth,Court,benefit,Yes,NA,"""Hr. Autors Einnahme.""This was the third performance, and the proceeds went to Stephanie d. J.Zinendorf attempted to go to this performance, but couldn't find a seat."
109,1781-02-24,Kth,Kinder,reprise,No,NA,NA
110,1781-02-24,Kth,Kinder,reprise,No,NA,NA
111,1781-02-24,Kth,Kinder,reprise,No,NA,NA
112,1781-02-25,Bth,Court,reprise,Yes,NA,NA
113,1781-02-25,Bth,Court,reprise,Yes,NA,NA
114,1781-02-25,Kth,French,reprise,No,NA,NA
115,1781-02-25,Kth,French,reprise,No,NA,NA
116,1781-02-26,Bth,Court,reprise,Yes,NA,NA
117,1781-02-26,Kth,Kinder,reprise,No,NA,NA
118,1781-02-26,Kth,Kinder,reprise,No,NA,NA
119,1781-02-26,Kth,Kinder,reprise,No,NA,NA
120,1781-02-27,Bth,Court,reprise,Yes,NA,NA
121,1781-02-27,Bth,Court,reprise,Yes,NA,NA
122,1781-02-27,Kth,French,reprise,No,NA,NA
123,1781-02-27,Kth,French,reprise,No,NA,NA
124,1781-02-27,Kth,French,reprise,No,NA,NA
125,1781-03-04,Bth,NA,concert,No,NA,"""Musikalische Akademie. / Zum Vortheil Hr. Adambergers Mitglied d. K. K. / N. H. Schaubühne."""
126,1781-03-06,Bth,NA,concert,No,No,"""Dergleichen z. V. Hr. Thurners, M. d. Orchest. b. Nationaltheater.""Mathias Thurner was a flutist in the orchestra of the court orchestra in Vienna; see Steblin, JAMIS 2008."
127,1781-03-08,Bth,NA,concert,No,No,"""Dergleichen z. V. der Unternehmer des Franz. Schauspiels."""
128,1781-03-11,Kth,NA,concert,No,Yes,"""Dergleichen z. V. der Tonkünstler Gesellschaft allhier. Alcid am Scheidwege.""Hasse's Alcide al bivio"
129,1781-03-12,Bth,NA,concert,No,No,NA
130,1781-03-13,Kth,NA,concert,No,Yes,"""Wie am Sonntag den 11. d. M.""Hasse's Alcide al bivio"
131,1781-03-15,Bth,NA,concert,No,Yes,"""Dergleichen / z. V. Hr. Boruwlaski in Königl. Pohlnischen / Diensten.""See Boruwłaski's description of his visit to Vienna in 1781 and his concert in his autobiography, 159ffMorrow (249) notes that the concert is in Zinzendorf, who mentions a guitar player and Adamberger"
132,1781-03-18,Bth,NA,concert,No,No,"""Dergleichen / z. V. Hr. Righini, gen. Apolls Geburtstag.""= Il natale di Apollo"
133,1781-03-19,Bth,NA,concert,No,No,"""Dergleichen / z. V. Hr. Ramms in Churbayer. Diensten."""
134,1781-03-20,Kth,NA,concert,No,Yes,"""Dergleichen / z. V. der Madame Mara.""In Schletter, the date appears as ""Dienstag / d. a2. [sic]""MBA, iii:101, Wolfgang to Leopold, 24 Mar:""die Mara ist hier; – sie hat vergangen dienstag eine accademie im Theater gegeben. – ihr Mann hat sich nicht dürfen sehen lassen, sonst hätte das orchstre nicht accompagnirt, weil er in die Zeitungen gedruckt hat, i ganz Wien seye kein Mensch im stande ihm zu accompagniren."""
135,1781-03-25,Bth,NA,concert,No,No,Reprise of Il natale di Apollo
136,1781-03-26,Bth,NA,concert,No,No,"""Dergleichen / z. V. Hr. Winter und Tausch, in Churbayer. / Diensten.""Cf. 2 Feb"
137,1781-03-27,Bth,NA,concert,No,No,"""Dergleichen / z. V. der Madame Olivieri.""Madame Olivieri not yet identified"
138,1781-03-29,Bth,NA,concert,No,Yes,"""Dergleichen / z. V. der Madam Varennes.""In ZinzendorfMadame Varenne played in concerts at the French ambassador's on 24 Mar, 28 Mar, 7 Apr, and 5 May 1781 (on 7 Apr with ""Herr Varene"", violin), and on 4 Apr at Prince Paar."
139,1781-04-01,Kth,NA,concert,No,Yes,Albrechtsberger's Die Pilgrime auf Golgatha was performed.
140,1781-04-03,Kth,NA,concert,No,Yes,Albrechtsberger's Die Pilgrime auf Golgatha was performed.A Mozart symphony was performed and he played the piano.
141,1781-04-05,Kth,NA,concert,No,No,NA
142,1781-04-16,Bth,Court,premiere,Yes,NA,"Zinendorf attended this premiere, calling it a ""mauvaise tragedie"", noting, however, ""Schroeder qui fit le rôle du Duc Albert de Bavière, joua comme un ange."""
618,1781-04-17,Bth,Court,reprise,Yes,NA,NA
619,1781-04-17,Kth,French,reprise,No,NA,NA
620,1781-04-17,Kth,French,reprise,No,NA,NA
621,1781-04-18,Bth,Court,reprise,Yes,NA,"This performance was attended by the Emperor, Archduchesses Maria Anna, Maria, and Maria Elisabeth, and Duke Albert von Sachsen-Teschen (WZ, Sat, 21 Apr 1781, no. 32, [6]"
143,1781-04-19,Bth,Court,reprise,Yes,NA,"Zinzendorf attended this performance, writing ""Belle musique."""
144,1781-04-19,Kth,French,unknown,No,NA,NA
145,1781-04-19,Kth,French,unknown,No,NA,NA
146,1781-04-20,Bth,unknown,benefit,No,NA,"This performance in the Burgtheater is not in Hadamowsky or Von Alth/Obzyna. Because it took place on a Friday, it may have been a benefit. Hadamowsky has the Burgtheater as ""geschlossen"" on this day.""Wissenschaft. geht vor / Schonheit [sic]. / L. in 3. A. n. G. v. B."""
147,1781-04-21,Bth,Court,premiere,Yes,NA,Performed only four times before being dropped.
148,1781-04-21,Bth,Court,premiere,Yes,NA,Performed only three times
149,1781-04-22,Bth,Court,premiere,Yes,NA,"Zinzendorf attended this performance, writing: ""Je trouvois Schroeter excellent en vieillard, jeu noble, [debit] agréable."""
150,1781-04-22,Kth,French,unknown,No,NA,"""L'Offcier & le grand Baillif. C. 5. / la Laitiere. C. 1. a.""Identification of ""La Laitiere"" as the work by Anseaume and Duni is provisional."
151,1781-04-22,Kth,French,unknown,No,NA,NA
152,1781-04-23,Bth,Court,reprise,Yes,NA,NA
153,1781-04-23,Bth,Court,premiere,Yes,NA,Performed only four times before being dropped.
154,1781-04-24,Bth,Court,reprise,Yes,NA,NA
155,1781-04-24,Bth,Court,reprise,Yes,NA,NA
156,1781-04-24,Kth,French,unknown,No,NA,"""Les 3. jumeaux venetiens. C. 3. 2."""
157,1781-04-24,Kth,French,unknown,No,NA,NA
158,1781-04-25,Bth,Court,reprise,Yes,NA,NA
159,1781-04-25,Kth,French,unknown,No,NA,NA
160,1781-04-25,Kth,French,unknown,No,NA,Identification of work mildly uncertain
161,1781-04-26,Bth,Court,reprise,Yes,NA,NA
163,1781-04-26,Bth,Court,premiere,Yes,NA,Performed only twice
162,1781-04-27,Bth,unknown,benefit,No,NA,Not in Hadamowsky or Von Alth/Obzyna. Possibly a benefit.
164,1781-04-27,Kth,NA,concert,No,No,"""Musikalische Akademie / z. V. Hr. Johann Lausch."""
165,1781-04-28,Kth,Court,premiere,Yes,NA,Performed only three times
166,1781-04-28,Bth,Court,reprise,Yes,NA,NA
167,1781-04-28,Kth,French,unknown,No,NA,NA
168,1781-04-28,Kth,French,unknown,No,NA,NA
169,1781-04-28,Kth,French,unknown,No,NA,NA
170,1781-04-29,Bth,Court,reprise,Yes,NA,NA
171,1781-04-29,Bth,Court,reprise,Yes,NA,NA
172,1781-04-29,Kth,French,unknown,No,NA,"Zinzendorf attended these performances: ""Le soir au Theatre de la porte de Carinthie. L'Homme comme il y en a peu. Dalainval, Calet et le jolie M:elle Laurens jouerent fort bien. La Servante maitresse bien jouée et mal chantée."""
173,1781-04-29,Kth,French,unknown,No,NA,"On Zinzendorf's reaction, see the preceding entry."
174,1781-04-30,Bth,Court,premiere,Yes,NA,NA
175,1781-05-01,Bth,Court,reprise,Yes,NA,NA
176,1781-05-01,Bth,Court,reprise,Yes,NA,NA
177,1781-05-01,Kth,French,reprise,No,NA,NA
178,1781-05-01,Kth,French,reprise,No,NA,NA
179,1781-05-02,Bth,Court,reprise,Yes,NA,"Zinzendorf attended this performance: ""Le soir au Spectacle der flatterhaffte Liebhaber [sic]. Schroeter y joua a merveille en pauvre rôle [...]"""
180,1781-05-02,Kth,NA,concert,No,No,NA
